,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
76,"Outlander (Outlander, #1)",Diana Gabaldon,850,4.24,924684,United States,1991,"RITA Award by Romance Writers of America Nominee for Best First Book & Single Title Historical Romance (1992), Puddly Award for Romance (2001)",1,"Historical > Historical Fiction, Romance, Fantasy, ",https://www.goodreads.com/book/show/10964.Outlander
77,One Flew Over the Cuckoo's Nest,Ken Kesey,325,4.2,674283,United States,1962,No Award,0,"Classics, Fiction, Psychology",https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
78,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,480,4.15,2870468,Sweeden,2005,"Barry Award for Mystery/Crime Novel Of The Decade (2010), Macavity Award for Best First Mystery Novel (2009), Anthony Award for Best First Novel (2009), Glass Key Award (2006), CWA International Dagger Nominee (2008)   Galaxy British Book Awards for Crime Thriller of the Year (2009), Exclusive Books Boeke Prize (2008), Strand Critics Award  Nominee for Best First Novel (2008)",1,"Fiction, Mystery, Thriller, ",https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
79,Rebecca,Daphne du Maurier,449,4.24,531534,Monaco,1938,"National Book Award for Fiction (1938), Anthony Award for Best Novel of the Century (2000)",0,"Classics, Fiction, Mystery, ",https://www.goodreads.com/book/show/17899948-rebecca
80,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,435,4.58,3364722,United States,1999,"Bram Stoker Award for Best Work for Young Readers (1999), Hugo Award Nominee for Best Novel (2000), Locus Award for Best Fantasy Novel (2000), Whitbread Award for Children's Book of the Year (1999), Mythopoeic Fantasy Award for Children's Literature (2008)   Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005), Colorado Blue Spruce Young Adult Book Award (2004), Maine Student Book Award (2001), Golden Archer Award for Intermediate (2001), Indian Paintbrush Book Award (2004), Soaring Eagle Book Award (2002), Hotze de Roosprijs (2001), NestlÇ¸ Smarties Book Prize for 9ƒ??11 years (1999)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
81,My Sister's Keeper,Jodi Picoult,423,4.09,1126070,United States,1982,"Audie Award for Multi-Voiced Performance (2005), Pennsylvania Young Readers' Choice Award for Young Adults (2007), ALA Alex Award (2005), Lincoln Award (2006), Green Mountain Book Award (2007)   Missouri Gateway Readers Award Nominee (2007)",0,"Fiction, Contemporary, Womens Fiction > Chick Lit",https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
82,The Color Purple,Alice Walker,304,4.24,586008,United States,1943,"Pulitzer Prize for Fiction (1983), National Book Award for Fiction (Hardcover) (1983), National Book Critics Circle Award Nominee for Fiction (1982), Townsend Prize for Fiction (1984)",1,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/52892857-the-color-purple
83,A Tree Grows in Brooklyn,Betty  Smith,496,4.28,418632,United States,1943,Audie Award for Classic (2002),0,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
84,The Brothers Karamazov,Fyodor Dostoevsky,796,4.34,273783,Russia,1879,No Award,0,"Classics, Fiction, Cultural > Russia, ",https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
85,A Clockwork Orange,Anthony Burgess,213,4,650262,United Kingdom,1962,Prometheus Hall of Fame Award (2008),0,"Classics, Fiction, Science Fiction, ",https://www.goodreads.com/book/show/41817486-a-clockwork-orange
86,The Road,Cormac McCarthy,241,3.97,787141,United States,2006,"Pulitzer Prize for Fiction (2007), Locus Award Nominee for Best SF Novel (2007), James Tait Black Memorial Prize for Fiction (2006), The Quill Award for General Fiction (2007), Puddly Award for Fiction (2010)   National Book Critics Circle Award Nominee for Fiction (2006), Believer Book Award (2006), TÇÏhtivaeltaja Award (2009), Cena Akademie SFFH for Kniha roku (Book of the Year) (2008), Prix des libraires du QuÇ¸bec for LaurÇ¸ats hors QuÇ¸bec (2009), International Dublin Literary Award Nominee (2008), The Rooster -- The Morning News Tournament of Books (2007)",0,"Fiction, Science Fiction, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/6288.The_Road
87,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,452,4.13,582716,Ireland,1996,None,None,"Nonfiction, Autobiography > Memoir, Biography, ",https://www.goodreads.com/book/show/252577.Angela_s_Ashes
88,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,332,4.11,600787,United S',2007,No Award,1,"Young Adult, Fantasy, Paranormal > Vampires, ",https://www.goodreads.com/book/show/345627.Vampire_Academy
89,Siddhartha,Hermann Hesse,152,4.05,659815,India,1922,No Award,0,"Classics, Fiction, Philosophy, ",https://www.goodreads.com/book/show/52036.Siddhartha
90,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,399,4,1396998,United Kingdom,1995,"Guardian Children's Fiction Prize (1996), Audie Award for Children's Titles (2000), Lincoln Award Nominee (2005), Carnegie Medal (1995)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/119322.The_Golden_Compass
91,The Poisonwood Bible,Barbara Kingsolver,546,4.08,692697,United States,1998,None,None,"Fiction, Historical > Historical Fiction, Cultural > Africa, ",https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
92,Don Quixote,Miguel de Cervantes Saavedra,1023,3.88,235576,Spain,1615,"Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium & Best Humor Publication (2014), ×?Ø×ñ×ý×æ×î×¨ ×?×¨×ü×¨Ø?×æØ?×«×û×§×©Ø? ×?×æØ?×ªØ?Ø×ñØŸ×úØ? ×?×?×?×?×?×? for ×?ØŸØ?×ñ×«Ø?Ø?Ø?×«×ú ×?×¨×ü×¨Ø?×æØ?×«×î×ñ (2010), Premio de traducciÇün literaria Valle InclÇ­n for John Rutherford (2002)",0,"Classics, Fiction, Literature, ",https://www.goodreads.com/book/show/3836.Don_Quixote
93,Atlas Shrugged,Ayn Rand,1078,3.69,370410,United States,1957,"Prometheus Hall of Fame Award (1983), National Book Award Finalist for Fiction (1958)",0,None,https://www.goodreads.com/book/show/662.Atlas_Shrugged
94,The Old Man and the Sea,Ernest Hemingway,96,3.79,958249,Cuba,1952,"Pulitzer Prize for Fiction (1953), Premio Bancarella (1953), National Book Award Finalist for Fiction (1953)",0,"Classics, Fiction, Literature, ",https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
95,"The Notebook (The Notebook, #1)",Nicholas Sparks,227,4.12,1479044,United States,1996,No Award,1,"Romance, Fiction, Womens Fiction > Chick Lit, ",https://www.goodreads.com/book/show/33648131-the-notebook
96,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,161,4.33,298865,United Kingdom,1926,No Award,1,"Classics, Childrens, Fiction, ",https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
97,The Complete Stories and Poems,Edgar Allan Poe,821,4.37,233125,United States,1849,No Award,0,"Classics, Poetry, Horror, ",https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
98,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,346,4.01,525623,United States,1976,British Fantasy Award Nominee for Best Novel (1977),1,"Horror, Fantasy, Fiction, ",https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
99,A Prayer for Owen Meany,John Irving,637,4.23,300073,United States,1989,No Award,0,"Fiction, Classics, Contemporary",https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
100,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,734,4.57,3005530,United Kingdom,2000,"Hugo Award for Best Novel (2001), Mythopoeic Fantasy Award for Children's Literature (2008), Publieksprijs voor het Nederlandse Boek (2001), Audie Award for Solo Narration - Male (2001), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)   Golden Archer Award for Middle/Junior High (2002), Indian Paintbrush Book Award (2002), Deutscher BÇ¬cherpreis for Publikumspreis, Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
101,"Moby-Dick or, the Whale",Herman Melville,654,3.52,509449,United States,1851,"Audie Award for Solo Narration - Male (2006), Ñ?¥?ÑæÑ¬¥?¥ ¥?Ñ¬ÑæÑ«¥? Ñ?ÑøÑ§¥Ñ÷Ñ¬Ñø ÑÿÑ÷Ñ¯¥?¥¥?Ñ§ÑóÑüÑó (1991)",0,"Classics, Fiction, Literature, ",https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale
102,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,527,4.37,2548923,Middle-earth,1954,Publieksprijs voor het Nederlandse Boek Nominee (2002),1,None,https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring
103,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,652,4.57,2791101,United Kingdom,2005,"Locus Award Nominee for Best Young Adult Novel (2006), Audie Award for Audiobook of the Year (2006), British Book of the Year (2006)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
104,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,479,4.31,756141,United Kingdom,2010,None,None,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/7171637-clockwork-angel
105,The Red Tent,Anita Diamant,324,4.19,554455,None,1997,"Book Sense Book of the Year Award for Adult Fiction (2001), Boston Author's Club Award (1998)",0,"Historical > Historical Fiction, Fiction, Historical",https://www.goodreads.com/book/show/4989.The_Red_Tent
106,The Secret Life of Bees,Sue Monk Kidd,302,4.07,1194026,United States,2001,"Orange Prize Nominee for Fiction Longlist (2002), Book Sense Book of the Year Award for Paperback (2004), Lincoln Award Nominee (2005), Missouri Gateway Readers Award Nominee (2005), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",0,"Fiction, Historical > Historical Fiction, Young Adult",https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees
107,And Then There Were None,Agatha Christie,264,4.27,1029968,United Kingdom,1939,No Award,0,"Mystery, Classics, Fiction, ",https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
108,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,398,4.37,2548923,Middle-earth,1954,Publieksprijs voor het Nederlandse Boek Nominee (2002),1,"Fantasy, Classics, Fiction, ",https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
109,The Stranger,Albert Camus,123,4,834233,Algeria,1942,PEN Translation Prize for Matthew Ward (1989),0,"Classics, Fiction, Philosophy, ",https://www.goodreads.com/book/show/49552.The_Stranger
110,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,662,4.52,816429,None,2007,"Locus Award Nominee for Best First Novel and Best Fantasy Novel (2008), Compton Crook Award Nominee (2008), Grand Prix de l'Imaginaire Nominee for Roman Ç¸tranger and Traduction (2010), ALA Alex Award (2008), The Quill Award for Science Fiction/Fantasy/Horror (2007)   Sakura Medal for High School Book (2009), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2010), TÇÏhtifantasia Award Nominee (2011)",1,None,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
111,The Shining,Stephen King,659,4.25,1273443,United States,1977,"Locus Award Nominee for Best Fantasy Novel (1978), Gandalf Award Nominee (1978)",1,"Horror, Fiction, Thriller, ",https://www.goodreads.com/book/show/11588.The_Shining
112,The Master and Margarita,Mikhail Bulgakov,372,4.3,282094,Russia,1967,No Award,0,"Classics, Fiction, Cultural > Russia, ",https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
113,Middlesex,Jeffrey Eugenides,529,4.02,609065,Turkey,2002,"Pulitzer Prize for Fiction (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Ambassador Book Award for Fiction (2003), Audie Award for Fiction, Unabridged (2003), National Book Critics Circle Award Nominee for Fiction (2002)",0,"FictionHistorical > Historical Fiction, Contemporary",https://www.goodreads.com/book/show/2187.Middlesex
114,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,341,4.43,3212805,United Kingdom,1998,"Mythopoeic Fantasy Award for Children's Literature (2008), British Book Award (1999), Prijs van de Jonge Jury (2002), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006), Colorado Blue Spruce Young Adult Book Award (2008)   Golden Archer Award for Middle/Junior High (2008), NestlÇ¸ Smarties Book Prize for 9ƒ??11 years (1998)",1,None,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
115,Flowers for Algernon,Daniel Keyes,216,4.17,550662,United States,1959,"Hugo Award Nominee for Best Novel (1967), Nebula Award for Best Novel (tie) (1966), Locus Award Nominee for All-Time Best Novel (36th in poll) (1975)",0,"Fiction, Classics, Science Fiction, ",https://www.goodreads.com/book/show/36576608-flowers-for-algernon
116,The Adventures of Tom Sawyer,Mark Twain,244,3.92,836088,United States,1876,Lewis Carroll Shelf Award (1967),1,None,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
117,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,503,3.92,1578983,None,2002,"Book Sense Book of the Year Award for Children's Literature (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007), South Carolina Book Award for Young Adult Book (2006), Grand Canyon Reader Award for Teen Book (2006), Nene Award (2006)   Colorado Blue Spruce Young Adult Book Award (2005), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2005), Rhode Island Teen Book Award (2005), Beehive Book Award for Young Adult Book (2005), Evergreen Teen Book Award (2006), Golden Archer Award for Middle/Junior High (2006), Soaring Eagle Book Award (2005), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2006), Iowa Teen Award (2008), Eliot Rosewater Indiana High School Book Award (2006), Literaturpreis der Jury der jungen Leser for Kinderbuch (2005), Virginia Reader's Choice for Middle (2005), Missouri Gateway Readers Award for Young Adult (2006), Oklahoma Sequoyah Award for YA (2006), Rebecca Caudill Young Readers' Book Award (2006)",1,None,https://www.goodreads.com/book/show/113436.Eragon
118,The Metamorphosis,Franz Kafka,201,3.84,779257,None,1915,No Award,0,"Classics, Fiction, Fantasy, ",https://www.goodreads.com/book/show/485894.The_Metamorphosis
119,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,176,4.15,750627,None,1963,"Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992), North Dakota Children's Choice Award (1985)",1,"Childrens, Fiction, Fantasy, ",https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
120,Looking for Alaska,John Green,221,3.99,1321110,United Kingdom,2005,"Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005), Michael L. Printz Award (2006), Rhode Island Teen Book Award Nominee (2007), Michigan Library Association Thumbs Up! Award Nominee (2006), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008)   The Inky Awards for Silver Inky (2007), Lincoln Award Nominee (2009), Bronzener Lufti (2007), Green Mountain Book Award (2008), The Inky Awards Shortlist for Silver Inky (2007), Alabama Author Award for Young Adult (2006), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)",0,"Young Adult, Fiction, Contemporary, ",https://www.goodreads.com/book/show/99561.Looking_for_Alaska
121,The Curious Incident of the Dog in the Night-Time,Mark Haddon,226,3.89,1324260,United Kingdom,2003,None,None,"Fiction, Mystery, Young Adult, ",https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
122,The Very Hungry Caterpillar,Eric Carle,26,4.3,447179,None,1969,California Young Readers Medal Nominee for Primary (1976),0,"Childrens > Picture Books, Childrens, Fiction",https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
123,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz ZafÇün,487,4.28,538260,Spain,2001,"Barry Award for Best First Novel (2005), Gumshoe Award Nominee for Best European Crime Novel (2005), Borders Original Voices Award for Fiction (2004), Dilys Award Nominee (2005), Humo's Gouden Bladwijzer (2006)   Prix du Meilleur Livre Ç?tranger for Roman (2004), Prix des libraires du QuÇ¸bec for LaurÇ¸ats hors QuÇ¸bec (2005), One Book One San Diego (2015), Premi Llibreter de narrativa Nominee (2002)",1,"Fiction, Historical > Historical Fiction, Mystery, ",https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
